v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,2515,0x1372700,12,GlobalUnescape
code-creation,Builtin,3,2518,0x1372720,12,GlobalEval
code-creation,Builtin,3,2520,0x1372740,145,GlobalIsFinite
code-creation,Builtin,3,2523,0x13727e0,137,GlobalIsNaN
code-creation,Builtin,3,2525,0x1372880,12,JsonParse
code-creation,Builtin,3,2528,0x13728a0,12,JsonStringify
code-creation,Builtin,3,2530,0x13728c0,3737,LoadIC
code-creation,Builtin,3,2533,0x1373760,3213,LoadIC_Megamorphic
code-creation,Builtin,3,2535,0x1374400,3273,LoadIC_Noninlined
code-creation,Builtin,3,2538,0x13750e0,52,LoadICTrampoline
code-creation,Builtin,3,2541,0x1375120,52,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,2543,0x1375160,6968,KeyedLoadIC
code-creation,Builtin,3,2546,0x1376ca0,12148,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,2549,0x1379c20,52,KeyedLoadICTrampoline
code-creation,Builtin,3,2551,0x1379c60,52,KeyedLoadICTrampoline_Megamorphic
